	volume_corpo	volume_flagelo	tipo_bacteria
0	36.9953950887	0.0439822971503	1
1	41.7046424764	7.42201264411	2
2	47.412916328	21.0486707791	3
3	50.0298630084	0.0471238898038	1
4	42.764929997	0.0439822971503	1
5	36.9836141162	0.011780972451	1
6	33.2082051448	4.41079608564	2
7	36.6435367115	15.0270230603	3
8	35.38689965	0.0408407044967	1
9	45.3960138444	0.0471238898038	1
10	37.799642808	0.0408407044967	1
11	38.1766339264	12.2145122372	3
12	52.0789668167	21.1892570503	3
13	24.8814138164	2.90597320457	2
14	27.4889357189	3.70629393307	2
15	41.6127508913	14.2502642767	3
16	34.353315667	10.2541584213	2
17	35.0978731259	5.97295303264	2
18	45.9457925588	16.3362817987	3
19	45.3960138444	0.20106192983	1
20	54.8357143702	0.188495559215	1
21	52.9162012589	0.0408407044967	1
22	48.2179494455	16.0315473113	3
23	49.0276949519	0.188495559215	1
24	27.979809571	15.7079632679	3
25	36.9836141162	0.011780972451	1
26	54.4280927234	25.3440133347	3
27	51.4718540364	22.0202083072	3
28	57.8398623452	0.238761041673	1
29	26.9980618668	5.30929158457	2
30	47.4506154398	12.2145122372	2
31	18.6964032797	0.0918915851175	1
32	42.2732707467	5.70748845341	2
33	56.291057167	22.4356839356	3
34	34.7193112111	0.0471238898038	1
35	39.4081382466	21.2874318207	3
36	40.8815452012	28.6678183622	3
37	43.5943104575	6.10568532225	2
38	50.8938009882	0.0439822971503	1
39	23.5682280872	7.9521564044	2
40	50.5694315467	6.77327376114	2
41	37.5608817663	5.30929158457	2
42	57.305006196	27.979809571	3
43	30.3949089235	0.00863937979737	1
44	54.6888449137	24.5130620778	3
45	57.8398623452	0.106028752059	1
46	39.5840674352	7.9521564044	2
47	35.3429173529	0.0502654824574	1
48	47.3595092529	21.6047326787	3
49	22.1670777637	2.59181393921	2
50	38.1703507411	7.9521564044	2
51	37.799642808	0.0502654824574	1
52	33.9292006588	0.0109955742876	1
53	45.9457925588	22.0476972429	3
54	56.9861345416	0.0471238898038	1
55	39.5840674352	5.44202387418	2
56	58.0613446273	0.0471238898038	1
57	87.3268509918	25.4688916427	3
58	89.5950808877	20.106192983	3
59	15.7079632679	2.74889357189	2
60	46.6526509058	6.77327376114	2
61	57.1989774439	25.3338031585	3
62	73.2870734229	29.9433049795	3
63	48.1056375081	0.452389342117	1
64	43.5801732906	0.0596902604182	1
65	47.3595092529	11.3490034611	2
66	64.6445520329	0.120165919	1
67	37.6496317588	5.5747561638	2
68	53.7212343764	22.8597989438	3
69	39.4081382466	19.3961930433	3
70	20.7737814219	2.59181393921	2
71	29.7728735781	6.00358356101	2
72	46.3039341213	0.0471238898038	1
73	57.305006196	19.7425536333	3
74	43.1183591705	12.4689812421	3
75	35.713625286	23.071856448	3
76	64.5078927525	0.213628300444	1
77	30.9250526838	8.65901475146	2
78	86.6702581272	0.188495559215	1
79	40.2917111805	7.23508788122	2
80	36.9836141162	0.011780972451	1
81	43.1183591705	7.08114984119	2
82	45.5656598477	17.2952529562	3
83	40.2123859659	0.0376991118431	1
84	52.0789668167	18.7034718631	3
85	33.2082051448	14.4599655863	3
86	24.052818754	10.214103115	3
87	53.8838117962	9.449910702	2
88	30.7938911905	4.52389342117	2
89	51.4718540364	7.9521564044	2
90	40.0238904067	8.12887099116	2
91	64.5078927525	0.163362817987	1
92	22.8079626651	3.14159265359	2
93	41.7643327368	0.0989601685881	1
94	31.1017672705	0.0408407044967	1
95	36.9891119034	4.77836242611	2
96	57.8398623452	0.0502654824574	1
97	46.8222969091	0.0314159265359	1
98	48.1056375081	0.0918915851175	1
99	56.2973403523	7.23508788122	2
100	54.4752166132	9.04778684234	2
101	29.2011037151	4.97628276329	2
102	52.2761017557	16.0221225333	3
103	40.2909257823	4.75008809223	2
104	50.5694315467	8.30558557793	2
105	49.0677502583	0.0989601685881	1
106	43.5801732906	0.0502654824574	1
107	32.8885480923	14.7592022866	3
108	72.8849495633	0.0376991118431	1
109	32.3866786659	8.62053024145	3
110	42.4115008235	12.2145122372	3
111	35.0978731259	5.44202387418	2
112	33.2082051448	14.4599655863	3
113	50.8938009882	11.6615919301	3
114	22.8079626651	8.83572933822	3
115	33.2082051448	3.22013246993	2
116	37.5608817663	5.31557476987	2
117	30.262962032	2.74889357189	2
118	36.2288464812	0.0502654824574	1
119	48.0663675999	19.0498324532	3
120	36.0709814504	12.4689812421	3
121	76.1993298128	0.0439822971503	1
122	48.3051286416	13.9957952717	3
123	53.8838117962	29.4524311274	3
124	47.2118543981	0.0439822971503	1
125	22.851159564	5.30929158457	2
126	26.1749645915	5.84022074302	2
127	29.0628736384	0.0439822971503	1
128	50.5694315467	25.3338031585	3
129	40.9522310359	5.70748845341	2
130	25.0345664583	2.85099533313	2
131	50.1869426411	20.4352748134	3
132	30.9250526838	14.1764368493	3
133	49.0677502583	0.0439822971503	1
134	39.631191325	7.9521564044	2
135	32.0630946225	5.5747561638	2
136	55.493092633	23.6821108209	3
137	49.0276949519	0.053407075111	1
138	45.9457925588	13.9957952717	3
139	68.6532242589	0.011780972451	1
140	57.905835791	15.2681402964	3
141	34.4821209658	15.3938040026	3
142	24.8814138164	3.6112607553	2
143	38.7923860865	9.01244392499	3
144	41.871146887	7.38902592124	2
145	43.6202285969	0.333794219444	1
146	41.7046424764	12.977919252	3
147	34.6360590058	0.0439822971503	1
148	52.0789668167	8.65901475146	2
149	33.9292006588	0.0989601685881	1
